unit_id,dtime,fetch_time,bytes_total,bytes_sec
25886677,2021-01-01 01:59:27,1275441,4212345,3302657
25886677,2021-01-01 03:57:28,1346719,4212135,3127701
25886677,2021-01-01 05:57:29,1336839,4212061,3150761
25886677,2021-01-01 07:57:28,1493235,4212361,2820963
25886677,2021-01-01 09:57:29,1292241,4211745,3259256
25886677,2021-01-01 11:57:29,1309128,4212476,3217772
25886677,2021-01-01 13:57:29,1329381,4212380,3168677
25886677,2021-01-01 15:57:29,1334347,4211675,3156356
25886677,2021-01-01 17:58:43,1307378,4211415,3221268
25886677,2021-01-01 19:57:28,1330222,4211415,3165948
25886677,2021-01-01 21:57:29,1249724,4211452,3369905
25886677,2021-01-01 23:57:35,1274589,4211433,3304149
25886677,2021-01-02 01:58:43,1388635,4207717,3030110
25886677,2021-01-02 03:57:28,1334742,4208703,3153195
25886677,2021-01-02 05:57:28,1314385,4209369,3202538
25886677,2021-01-02 07:57:28,1343815,4209323,3132367
25886677,2021-01-02 09:58:43,1489551,4208832,2825570
25886677,2021-01-02 11:57:29,1382759,4207098,3042538
25886677,2021-01-02 13:57:29,1294968,4206505,3248346
25886677,2021-01-02 15:57:29,1301648,4205889,3231203
25886677,2021-01-02 17:57:28,1315221,4206944,3198659
25886677,2021-01-02 19:57:29,1515846,4206944,2775310
25886677,2021-01-02 21:57:29,1376579,4206944,3056086
25886677,2021-01-03 01:58:14,1306258,4209286,3222400
25886677,2021-01-03 03:57:28,1307398,4209950,3220098
25886677,2021-01-03 05:57:34,1586943,4207326,2651214
25886677,2021-01-03 07:57:29,1366171,4207326,3079648
25886677,2021-01-03 09:57:28,1311036,4205669,3207897
25886677,2021-01-03 11:57:28,1352051,4206984,3111557
25886677,2021-01-03 13:57:29,1327642,4206974,3168756
25886677,2021-01-03 15:57:28,1553966,4208392,2708162
25886677,2021-01-03 17:58:42,1340452,4207509,3138873
25886677,2021-01-03 19:57:29,1319066,4208300,3190363
25886677,2021-01-03 21:57:28,1276079,4208289,3297827
25886677,2021-01-03 23:57:29,1638939,4207564,2567248
25886677,2021-01-04 01:57:34,1312752,4208134,3205581
25886677,2021-01-04 03:58:00,1335855,4208819,3150655
25886677,2021-01-04 05:57:30,1355725,4207860,3103771
25886677,2021-01-04 07:57:29,1339601,4210556,3143141
25886677,2021-01-04 09:58:42,1259793,4211206,3342776
25886677,2021-01-04 11:57:28,1326364,4211397,3175144
25886677,2021-01-04 13:57:28,1299898,4214176,3241928
25886677,2021-01-04 15:57:29,1341577,4213658,3140824
25886677,2021-01-04 17:57:29,1346218,4214753,3130810
25886677,2021-01-04 19:57:29,1427823,4212202,2950086
25886677,2021-01-04 21:57:28,1437821,4210990,2928730
25886677,2021-01-04 23:57:29,1537027,4210970,2739685
25886677,2021-01-05 01:57:29,1365371,4212937,3085562
25886677,2021-01-05 03:57:28,1313437,4213120,3207706
25886677,2021-01-05 05:57:28,1385114,4213572,3042039
25886677,2021-01-05 07:57:28,1359423,4212682,3098875
25886677,2021-01-05 09:58:43,1390249,4212160,3029788
25886677,2021-01-05 11:57:29,1309858,4212090,3215684
25886677,2021-01-05 13:57:28,1309705,4213106,3216835
25886677,2021-01-05 15:57:28,1289026,4213630,3268847
25886677,2021-01-05 17:58:42,1332956,4215994,3162890
25886677,2021-01-05 19:57:28,1392288,4213644,3026416
25886677,2021-01-05 21:57:28,1282746,4211052,3282841
25886677,2021-01-05 23:57:29,1295240,4211051,3251174
25886677,2021-01-06 01:57:29,1322163,4209803,3184027
25886677,2021-01-06 03:57:29,1313508,4208270,3203840
25886677,2021-01-06 05:57:28,1313843,4208491,3203191
25886677,2021-01-06 07:57:29,1361872,4208914,3090535
25886677,2021-01-06 09:57:29,1387798,4209694,3033362
25886677,2021-01-06 11:57:29,1552476,4210286,2711981
25886677,2021-01-06 13:57:28,1361106,4211495,3094171
25886677,2021-01-06 15:57:29,1387623,4213333,3036367
25886677,2021-01-06 17:57:29,1321448,4212571,3187844
25886677,2021-01-06 19:57:29,1481705,4208012,2839979
25886677,2021-01-06 21:57:28,1394229,4340177,3112958
25886677,2021-01-06 23:57:28,1311330,4210613,3210948
25886677,2021-01-07 01:57:29,1519052,4211726,2772601
25886677,2021-01-07 03:57:29,1437403,4211354,2929835
25886677,2021-01-07 05:58:28,55358421,3194023,57697
25886677,2021-01-07 07:57:29,1292765,4211896,3258052
25886677,2021-01-07 09:57:28,1404850,4212596,2998609
25886677,2021-01-07 11:57:29,1391286,4213385,3028410
25886677,2021-01-07 13:57:28,1305147,4214846,3229403
25886677,2021-01-07 15:57:28,1306912,4213655,3224130
25886677,2021-01-07 17:58:43,1291647,4214728,3263064
25886677,2021-01-07 19:57:29,1346532,4216864,3131647
25886677,2021-01-07 21:57:28,1314674,4213959,3205326
25886677,2021-01-07 23:57:28,1356159,4211927,3105776
25886677,2021-01-08 01:58:43,1329237,4213467,3169838
25886677,2021-01-08 03:57:28,1358931,4213236,3100404
25886677,2021-01-08 05:57:29,1309942,4211181,3214784
25886677,2021-01-08 07:57:29,1452670,4210812,2898670
