unit_id,dtime,fetch_time,bytes_total,bytes_sec
24734365,2021-01-01 01:50:40,3016597,4212345,1396389
24734365,2021-01-01 03:50:41,2961090,4212135,1422494
24734365,2021-01-01 05:50:41,2896050,4212061,1454415
24734365,2021-01-01 07:50:41,3305572,4212352,1274318
24734365,2021-01-01 09:50:41,3310197,4211745,1272354
24734365,2021-01-01 11:50:41,3090064,4212476,1363232
24734365,2021-01-01 13:50:41,3057596,4212380,1377677
24734365,2021-01-01 15:51:56,3232979,4211672,1302721
24734365,2021-01-01 17:50:41,2879558,4211415,1462521
24734365,2021-01-01 19:50:42,3049633,4211415,1380957
24734365,2021-01-01 21:50:41,3014734,4211415,1396944
24734365,2021-01-01 23:50:41,2955380,4211433,1425005
24734365,2021-01-02 01:51:12,3919636,4207717,1073496
24734365,2021-01-02 03:50:43,3275167,4208708,1285036
24734365,2021-01-02 05:50:41,3232655,4209366,1302138
24734365,2021-01-02 07:51:56,3426537,4209323,1228448
24734365,2021-01-02 09:50:42,3024292,4208833,1391675
24734365,2021-01-02 11:50:42,3180950,4207098,1322591
24734365,2021-01-02 13:50:42,3342727,4206042,1258266
24734365,2021-01-02 15:52:01,3174002,4205889,1325105
24734365,2021-01-02 17:50:41,3087646,4206944,1362508
24734365,2021-01-02 19:50:41,3431230,4206944,1226074
24734365,2021-01-02 21:51:01,3180752,4206944,1322625
24734365,2021-01-02 23:51:56,3217209,4206944,1307637
24734365,2021-01-03 01:50:43,3311302,4209035,1271111
24734365,2021-01-03 03:50:42,2927929,4209950,1437859
24734365,2021-01-03 05:50:41,2989745,4207326,1407252
24734365,2021-01-03 07:51:55,3170600,4207326,1326981
24734365,2021-01-03 09:50:42,3109681,4205733,1352464
24734365,2021-01-03 11:50:41,2950312,4206984,1425945
24734365,2021-01-03 13:50:41,3262642,4206974,1289437
24734365,2021-01-03 15:50:42,3164834,4208366,1329727
24734365,2021-01-03 17:50:41,3185918,4207509,1320658
24734365,2021-01-03 19:50:41,2954761,4207509,1423976
24734365,2021-01-03 21:50:41,2974155,4208289,1414952
24734365,2021-01-03 23:50:42,3348772,4207564,1256449
24734365,2021-01-04 01:50:47,3021093,4208134,1392917
24734365,2021-01-04 03:50:42,3590473,4208447,1172114
24734365,2021-01-04 05:50:51,2945030,4207860,1428800
24734365,2021-01-04 07:50:52,3193920,4210556,1318303
24734365,2021-01-04 09:50:41,3206631,4211220,1313284
24734365,2021-01-04 11:50:41,3043818,4210898,1383426
24734365,2021-01-04 13:50:42,2982872,4214165,1412787
24734365,2021-01-04 15:50:58,3288532,4213658,1281318
24734365,2021-01-04 21:50:41,3064496,4210990,1374121
24734365,2021-01-05 01:50:41,3237764,4212965,1301195
24734365,2021-01-05 03:50:41,3001967,4213120,1403453
24734365,2021-01-05 05:50:41,3004715,4213572,1402320
24734365,2021-01-05 07:51:59,3030458,4213368,1390340
24734365,2021-01-05 09:50:41,3065464,4212160,1374069
24734365,2021-01-05 11:50:41,2940744,4212157,1432343
24734365,2021-01-05 13:50:41,3096067,4213106,1360792
24734365,2021-01-05 15:52:01,3291497,4213630,1280156
24734365,2021-01-05 19:51:09,3142230,4213936,1341065
24734365,2021-01-05 21:50:42,2966006,4211294,1419853
24734365,2021-01-06 01:50:41,3176882,4209803,1325136
24734365,2021-01-06 03:50:40,3014768,4208270,1395885
24734365,2021-01-06 09:50:41,2930943,4209787,1436325
24734365,2021-01-06 11:50:42,3012524,4210188,1397561
24734365,2021-01-06 19:50:41,3065006,4208502,1373081
24734365,2021-01-06 21:50:41,3181649,4340177,1364128
24734365,2021-01-06 23:50:42,3251026,4210127,1295014
24734365,2021-01-07 01:50:41,3207456,4211726,1313104
24734365,2021-01-07 03:50:41,3151144,4211456,1336484
24734365,2021-01-07 09:50:42,2972188,4213104,1417509
24734365,2021-01-07 11:50:42,3117010,4213413,1351748
24734365,2021-01-07 13:50:41,3073121,4215039,1371582
24734365,2021-01-07 15:52:19,3803809,4213364,1107669
24734365,2021-01-07 17:50:49,4618153,4214728,912643
24734365,2021-01-07 19:50:46,3327234,4216762,1267347
24734365,2021-01-07 21:50:41,3322048,4213959,1268482
24734365,2021-01-07 23:52:19,3335112,4213292,1263313
24734365,2021-01-08 01:50:41,3107521,4213249,1355823
24734365,2021-01-08 03:50:42,2945772,4213236,1430265
24734365,2021-01-08 05:50:41,2854711,4211181,1475168
24734365,2021-01-08 07:51:56,3237443,4210812,1300659
24734365,2021-01-08 09:50:41,3257842,4211521,1292733
24734365,2021-01-08 11:50:40,2965537,4212920,1420626
24734365,2021-01-08 13:50:41,3029347,4216137,1391764
24734365,2021-01-08 15:52:14,3178530,4214477,1325920
24734365,2021-01-08 17:51:08,4683397,4216055,900213
24734365,2021-01-08 19:50:53,3843980,4214613,1096419
24734365,2021-01-08 23:50:45,3072452,4222092,1374176
24734365,2021-01-09 09:50:42,3263385,4223130,1294094
24734365,2021-01-09 11:50:41,2965697,4222010,1423614
24734365,2021-01-09 13:50:40,2984791,4222065,1414526
24734365,2021-01-09 15:51:55,2962782,4220701,1424573
24734365,2021-01-09 17:50:41,3208189,4221673,1315905
24734365,2021-01-09 21:51:17,3174644,4222711,1330136
24734365,2021-01-10 05:50:41,3234854,4219360,1304343
24734365,2021-01-10 11:50:42,3197683,4220224,1319775
24734365,2021-01-10 13:50:41,3351646,4222132,1259718
24734365,2021-01-10 15:51:56,3185030,4222717,1325801
24734365,2021-01-10 17:50:42,3181441,4222417,1327202
24734365,2021-01-10 19:51:12,3272053,4222593,1290502
24734365,2021-01-10 21:50:41,3153125,4222593,1339177
24734365,2021-01-10 23:52:19,3097003,4222593,1363444
24734365,2021-01-11 03:50:42,3041829,4222787,1388239
24734365,2021-01-11 05:50:41,3071811,4222800,1374693
24734365,2021-01-11 07:51:57,3410406,4223362,1238375
24734365,2021-01-11 09:50:41,2997896,4224384,1409116
24734365,2021-01-11 11:50:51,3149227,4224155,1341330
24734365,2021-01-11 19:50:56,3068913,4224133,1376426
24734365,2021-01-11 21:50:47,3116534,4221806,1354647
24734365,2021-01-11 23:50:41,3045585,4221526,1386113
24734365,2021-01-12 01:50:41,3094693,4220507,1363788
